date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:08	325/325	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2008:53:02%20GMT	https://themarcus.com/robots.txt		(from )
19:20:09	178001/178001	---M-Z	200	added ('OK')	text/html	etag:W/%2293fffd03d94a8836b0c7017cb77649ef--gzip%22	https://themarcus.com/	E:/waheed/project_website/themarcus.com/index.html	(from )
19:20:09	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Thu,%2027%20Oct%202022%2014:20:26%20GMT	http://static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/t/60414eb4c13a867fd2577d8e/1614892728910/share.png?format=1500w	E:/waheed/project_website/static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/t/60414eb4c13a867fd2577d8e/1614892728910/share.026f7.delayed	(from https://themarcus.com/)
19:20:11	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	E:/waheed/project_website/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://themarcus.com/)
19:20:14	45223/45223	---M-Z	200	added ('OK')	text/javascript	etag:%22aab75efdbb0c1f9f3787012ff18aae71%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3a49d64b287a02102ec6c-min.en-US.js	E:/waheed/project_website/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-3a49d64b287a02102ec6c-min.en-US.js	(from https://themarcus.com/)
19:20:15	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	E:/waheed/project_website/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://themarcus.com/)
19:20:18	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	E:/waheed/project_website/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://themarcus.com/)
19:20:29	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	E:/waheed/project_website/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://themarcus.com/)
19:20:29	575859/575859	---M-Z	200	added ('OK')	text/javascript	etag:%225c13c40151c71b4c8992acfa110f6acb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	E:/waheed/project_website/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	(from https://themarcus.com/)
19:20:31	25682/25682	---M-Z	200	added ('OK')	text/javascript	etag:%22d9e1be989a5dcd45589ea4743b248831%22	http://assets.squarespace.com/universal/scripts-compressed/performance-7532c45b5785b33eab5ea-min.en-US.js	E:/waheed/project_website/assets.squarespace.com/universal/scripts-compressed/performance-7532c45b5785b33eab5ea-min.en-US.js	(from https://themarcus.com/)
19:20:37	488629/488629	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2014:20:48%20GMT	https://static1.squarespace.com/static/sitecss/5e8f5d9bae8f137fbc83492a/40/5e8f5dc001e1e4727920d9c5/5e8f5dc701e1e4727920daed/2012/site.css	E:/waheed/project_website/static1.squarespace.com/static/sitecss/5e8f5d9bae8f137fbc83492a/40/5e8f5dc001e1e4727920d9c5/5e8f5dc701e1e4727920daed/2012/site.css	(from https://themarcus.com/)
